id;ISBN;naslov;dolzina;povprecna_ocena;stevilo_ocen;leto;opis;url_naslovnice
1743390;9780439895767;A Curse Dark as Gold;396;3.57;11464;;Charlotte Miller has always scoffed at talk of a curse on her family's woolen mill, which holds her beloved small town together. But after her father's death, the bad luck piles up: departing workers, impossible debts, an overbearing uncle. Then a stranger named Jack Spinner offers a tempting proposition: He can turn straw into gold thread, for the small price of her mother's ring. As Charlotte is drawn deeper into her bargains with Spinner-and a romance with the local banker-she must unravel the truth of the curse on the mill and save the community she's always called home.;https://images.gr-assets.com/books/1286811706l/1743390.jpg
32281026;;A Darker Shade of Sorcery;350;3.83;146;;". The lonely and grieving Evan Umbra is the newest Venator to enter Veneseron, the school for demon hunters. A Venator is a wizard, a spy and a demon hunter rolled into one. They’re taught how to wield their sorcery and enchanted weaponry by orcs, elfpires and aliens alike. Their missions range from battling monsters and saving countless lives in the multiple worlds, to the more peculiar, like wrangling killer unicorns and calming down drunken yetis. In their free time Venators enjoy goblin soap-opera’s and underwater bubble travel, but they also understand that every new mission they’re given could be their last. Whilst learning how to manipulate the elements, summon magical creatures and shoot Spellzookas, Evan meets a girl who makes him feel nauseous; but in a good way. He makes the first friends he’s ever had in the carefree Jed and the reckless Brooke. Whilst Jed gets on the wrong side of a rival Venator, Brooke finds herself falling for the enigmatic demon hunter who brought her to Veneseron, not knowing he isn't quite human. But it soon becomes apparent that Evan is more than just a Venator. Everyone wants to kill or capture him, from demons to Dark-Venators and even people he’s supposed to be able to trust. Evan reckons he probably won’t survive his first year at Veneseron.";https://images.gr-assets.com/books/1453197267l/28602062.jpg
8667848;9780670022410;A Discovery of Witches;579;3.99;267085;;"Book one of the New York Times–bestselling All Souls trilogy—""a wonderfully imaginative grown-up fantasy with all the magic of Harry Potter and Twilight” (People) Deborah Harkness’s sparkling debut, A Discovery of Witches , has brought her into the spotlight and galvanized fans around the world. In this tale of passion and obsession, Diana Bishop, a young scholar and a descendant of witches, discovers a long-lost and enchanted alchemical manuscript, Ashmole 782, deep in Oxford's Bodleian Library. Its reappearance summons a fantastical underworld, which she navigates with her leading man, vampire geneticist Matthew Clairmont. Harkness has created a universe to rival those of Anne Rice, Diana Gabaldon, and Elizabeth Kostova, and she adds a scholar's depth to this riveting tale of magic and suspense. The story continues in book two, Shadow of Night , and concludes with The Book of Life.";https://images.gr-assets.com/books/1525097370l/8667848.jpg
23760390;9781909984592;A Disturbance in Time?;352;4.5;6;;1668 – In an isolated community in the wilds of Exmoor, a poor peasant family is terrorized by a crazed witchfinder. 1989 – The crew of HMS Leopard welcome on board two distraught young girls, the survivors of a shipwreck off the coast of East Africa. 2004 – Three geeky lads build an experimental computer in their summer holidays and end up with much more than they bargained on. Three apparently unconnected events and places but all bound together across time, and in the control of a mysterious power that is seemingly beyond good and evil …;https://images.gr-assets.com/books/1418291063l/23760390.jpg
6992584;9781423127185;A Field Guide for Heartbreakers;352;3.09;362;;Best friends Dessy and Veronica arrive in Europe with wildly different plans. Dessy hopes to heal her newly broken heart by diving into the creative writing workshop that brought the girls to Prague. Veronica’s plan, meanwhile, is to conquer as many hot-dudes as possible in one month—and help Dessy recycle her heart in the process. Her method: · Dress like you are the party. · Explore the terrain. (Moderate stalking is totally allowed.) · Be adventurous. And that means being prepared to hide in your suitcase. · Ask questions that make your hot-dude feel smart. · Gloss early, gloss often, and bring gum. Because a kiss can happen when you least expect it! At first, Veronica’s plan is working so well that Dessy thinks she might be a love genius. But soon it’s clear that Operation Maneater has a few holes. Like its failure to anticipate crazy mixed signals—and worse, its mysterious tendency to plague a friendship with secrets and lies. Well, no one ever said breaking hearts was a simple craft….;https://images.gr-assets.com/books/1268797225l/6992584.jpg
473869;9780441011773;A Fistful of Sky;368;3.92;1499;;"The LaZelle family of southern California has a secret: they can do magic. Real magic. As a teenager, a LaZelle undergoes ""the Transition""--a severe illness that will either kill him or leave him with magical powers. If he's lucky, he gains a talent like shape-changing or wish-granting. If he's unlucky, he never experiences Transition. If he's especially unlucky, he undergoes Transition late, which increases his chances of dying. And if he survives, he will bear the burden of a dark, dangerous magic: the ability to cast only curses. And curse he must, for when a LaZelle doesn't use his magic, it kills him.In Nina Kiriki Hoffman's A Fistful of Sky, Gypsum LaZelle is unique among her brothers and sisters: she has not undergone Transition. She resigns herself to a mundane, magic-bereft existence as a college student. Then one weekend, when her family leaves her home alone, she becomes gravely ill... --Cynthia Ward";https://images.gr-assets.com/books/1392091624l/473869.jpg
13496;9780553588484;A Game of Thrones;848;4.45;1586931;;"Here is the first volume in George R. R. Martin’s magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction. A GAME OF THRONES Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister and supernatural forces are massing beyond the kingdom’s protective Wall. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the land they were born to. Sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; and a determined woman undertakes the most treacherous of journeys. Amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the Starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones. source: georgerrmartin.com";https://images.gr-assets.com/books/1436732693l/13496.jpg
231012;9780345456359;A Gift of Dragons: Illustrated Stories;291;4.17;5070;;For more than thirty years, Pern has conjured visions of brave men and women mounted upon the backs of dragons. As anyone knows who has been touched by the storytelling magic of Anne McCaffrey, to read of the exotic world of Pern is to inhabit it—and to experience its extraordinary dragons is to soar aloft with them and share their dazzling adventures. Now, A Gift of Dragons brings together three beloved stories and a thrilling new tale of Pern in a single volume illustrated with beautiful artwork by Tom Kidd. In “The Smallest Dragonboy,” -Pern (Publication Order) #4.5- Keevan is the youngest dragonrider candidate, determined to impress a dragon when the next clutch of eggs hatches. But what transpires will surprise everyone—Keevan most of all. In “The Girl Who Heard Dragons,” -Pern (Publication Order) #8.5- a young girl’s rare ability to communicate with dragons puts her family in danger and will bring her face to face with her greatest fears—and with her most secret desire. The “Runner of Pern” -Pern (Publication Order) #15.5- is a girl named Tenna, who follows family tradition by delivering messages—and who will find her destiny on the mossy traces that runners have used for centuries under the dragon-filled sky. And finally, a very special gift: an exciting new Pern adventure, published here for the first time, fresh from the imagination of Anne McCaffrey. “Ever the Twain” -Pern (Publication Order) #16.5-;https://images.gr-assets.com/books/1403178175l/231012.jpg
3682;9780689875342;A Great and Terrible Beauty;403;3.79;187470;;In this debut gothic novel mysterious visions, dark family secrets and a long-lost diary thrust Gemma and her classmates back into the horrors that followed her from India. (Ages 12+) It's 1895, and after the suicide of her mother, 16-year-old Gemma Doyle is shipped off from the life she knows in India to Spence, a proper boarding school in England. Lonely, guilt-ridden, and prone to visions of the future that have an uncomfortable habit of coming true, Gemma's reception there is a chilly one. To make things worse, she's been followed by a mysterious young Indian man, a man sent to watch her. But why? What is her destiny? And what will her entanglement with Spence's most powerful girls—and their foray into the spiritual world—lead to?;https://images.gr-assets.com/books/1284558475l/3682.jpg
20521670;9780990484424;A Hero at the End of the World;308;3.45;1048;;Sixteen year-old Ewan Mao knows one thing for certain: according to prophecy, it's his destiny to kill the evil tyrant whose dark reign has terrorized Britain. Although he's just a normal boy, deep down Ewan is confident that he has exactly what it takes to be a hero. But when Ewan's big moment comes, he freezes. His best friend, the clever and talented Oliver Abrams, defeats the villain for him, and Ewan's bright future crumbles before his eyes. Five years later, Oliver has a job as an Unusual in the government's Serious Magical Crimes Agency, the life he and Ewan always dreamed of. But a routine investigation leads him and his partner, Sophie Stuart, to uncover a dangerous and powerful cult... one that seems to have drawn his former best friend into a plot to end the world. A deftly plotted, hysterically funny take on Chosen One narratives, A Hero at the End of the World expertly walks the fine line between satire and sincerity. Its sensitive depiction of a broken friendship and wry take-down of unfairly great expectations will appeal to all readers of modern fantasy.;https://images.gr-assets.com/books/1427857654l/20521670.jpg
21079008;B00HYZWDXQ;A Journey Begins (Chronicles of the Four: Book I);119;4.6;5;;"For centuries the Kingdom ruled by King Jonathan and Queen Natalia had been peaceful. But now the Kingdom and the rest of the world is being threatened by one known only as “The Dark King” who desires to have the entire world under his control. Natalia and Jonathan are powerless to defeat him and sacrifice everything they have to make sure their children grow up to be powerful magicians; strong enough together to defeat the Dark King once and for all. At the age of fifteen, Brean, Jake, Eliza, and Kimberly are determined to always stick together, save everyone, and defeat the Dark King. But will they be strong enough to journey through the Ice and Fire Kingdoms of the Elves? With the help of an uncommon dragon and unique bird, ""A Journey Begins"".";https://images.gr-assets.com/books/1394279479l/21079008.jpg
8090;9780064406048;A Knot in the Grain and Other Stories;192;3.75;4445;1994;1 Lily. She has the power to heal, but no speech - until a mage hears words from her mind. 2 Ruen. The princess was abandoned by her uncle deep in a cave to die at the hands of a stagman - who will surprise fate. 3 Erana. Given as a babe to a witch, raised beside the witch's troll son, she learns love comes in many forms. 4 Coral. The lovely newcomer consents to marry an older widower who soon wonders why she wants to live at Butter Hill Farm. 5 Annabelle. In the attic of their new house, the teen finds a knot that leads her on a magical mission.;https://images.gr-assets.com/books/1387667636l/8090.jpg
3008;9780142437018;A Little Princess;242;4.19;235832;1905;"Sara Crewe, an exceptionally intelligent and imaginative student at Miss Minchin's Select Seminary for Young Ladies, is devastated when her adored, indulgent father dies. Now penniless and banished to a room in the attic, Sara is demeaned, abused, and forced to work as a servant. How this resourceful girl's fortunes change again is at the center of A Little Princess , one of the best-loved stories in all of children's literature. This unique and fully annotated edition appends excerpts from Frances Hodgson Burnett 's original 1888 novella Sara Crewe and the stage play that preceded the novel, as well as an early story, ""Behind the White Brick,"" allowing readers to see how A Little Princess evolved. In his delightful introduction, U. C. Knoepflmacher considers the fairy-tale allusions and literary touchstones that place the book among the major works of Victorian literature, and shows it to be an exceptionally rich and resonant novel.";https://images.gr-assets.com/books/1327868556l/3008.jpg
8962;9780316905718;A Living Nightmare;272;4.07;45225;2000;In the tradition of Stephen King's 'Salem's Lot, Cirque Du Freak is the frightening saga of a young boy whose visit to a mysterious freak show leads him on a journey into a dark world of vampires. Filled with grotesque creatures, murderous vampires, and a petrifying ending, Cirque Du Freak will chill, thrill, and leave readers begging for more.;https://images.gr-assets.com/books/1308953294l/8962.jpg
39963;9780142401101;A Long Way from Chicago;160;3.92;29675;;Join Joey and his sister Mary Alice as they spend nine unforgettable summers with the worst influence imaginable--their grandmother!;https://images.gr-assets.com/books/1388195985l/39963.jpg
26636160;B013Z3ZXFA;A Perfect Wave (Real Tales of Surf Arcana Book 1);;;2;;“Okay kid, here’s the deal,” offers the creepy old surfer, “I will teach you to create your own perfect waves using an elemental magic called dynamism. You, in return, will help me locate and bag a treacherous mermaid who now lives on land in human form.” Torey figures, “Everybody knows that mermaids don’t really exist so what do I have to lose?” ~ After a serious wipeout, Dillon follows his surfboard leash towards the surface. He is almost there when he feels a hand grab his ankle and pull him back down. His startled gasp causes him to lose precious oxygen. Kicking his feet violently, he swims frantically upwards. His mind cannot register what is happening. He is too freaked out to think straight as he fights against his reflex to inhale and fill his lungs with water. Just two more strokes and he can breathe again. He is almost there. He is so close that he can practically taste the air. Just one more second and… Hands grab him by his hips and pull him back down again. He knows that he is going to drown, but struggles to see who his attacker is. The mermaid pulls him downwards until she and Dillon are face to face. He becomes instantly mesmerized by the magnificence of her beauty. She presses her sensual lips against his. His body relaxes and all worries of dying flee his oxygen-starved brain. She kisses him more passionately. He kisses her back desperately wanting this final moment of his life to last forever. His world goes black. Lesson #1: Never kiss a stinking mermaid.;https://images.gr-assets.com/books/1439694672l/26107550.jpg
33024300;9781524738457;A Problematic Paradox;352;4.01;72;;Guardians of the Galaxy meets The Hitchhiker's Guide to the Galaxy in this wild, warm-hearted, and hilarious sci-fi debut about a brainy young girl who is recruited for a very special boarding school. Nikola Kross has given up on living in harmony with classmates and exasperated teachers: she prefers dabbling in experimental chemistry to fitting in. But when her life is axially inverted by a gang of extraterrestrials who kidnap her dad and attempt to recruit her into their service, she discovers he's been keeping a world of secrets from her--including the school for geniuses where she's sent for refuge, a place where classes like Practical Quantum Mechanics are the norm and where students use wormholes to commute to class. For Nikola, the hard part isn't school, it's making friends, especially when the student body isn't (entirely) human. But the most puzzling paradox of all is Nikola herself, who has certain abilities that no one understands--abilities that put her whole school in greater danger than she could have imagined.;https://images.gr-assets.com/books/1498542783l/33024300.jpg
16299991;B00AFROVQC;A Quest of Heroes;346;3.46;13994;;From #1 Bestselling author Morgan Rice comes the debut of a dazzling new fantasy series. A Quest for Heroes revolves around the epic coming of age story of one special boy, a 14 year old from a small village on the outskirts of the Kingdom of the Ring. The youngest of four, the least favorite of his father, hated by his brothers, Thorgrin senses he is different from the others. He dreams of becoming a great warrior, of joining the King’s men and protecting the Ring from the hordes of creatures on the other side of the Canyon. When he comes of age and is forbidden by his father to try out for the King’s Legion, he refuses to take no for an answer: he journeys out on his own, determined to force his way into King’s Court and be taken seriously. But King’s Court is rife with its own family dramas, power struggles, ambitions, jealousy, violence and betrayal. King MacGil must choose an heir from amongst his children, and the ancient Dynasty Sword, the source of all their power, still sits untouched, waiting for the chosen one to arrive. Thorgrin arrives as an outsider and battles to be accepted, and to join the King’s Legion. Thorgrin comes to learn he has mysterious powers he does not understand, that he has a special gift, and a special destiny. Against all odds he falls in love with the king’s daughter, and as their forbidden relationship blossoms, he discovers he has powerful rivals. As he struggles to make sense of his powers, the king’s sorcerer takes him under his wing and tells him of a mother he never knew, in a land far away, beyond the Canyon, beyond even the land of the Dragons. Before Thorgrin can venture out and become the warrior he yearns to be, he must complete his training. But this may be cut short, as he finds himself propelled into the center of royal plots and counterplots, ones that may threaten his love and bring him down—and the entire kingdom with him. With its sophisticated world-building and characterization, A Quest for Heroes is an epic tale of friends and lovers, of rivals and suitors, of knights and dragons, of intrigues and political machinations, of coming of age, of broken hearts, of deception, ambition and betrayal. It is a tale of honor and courage, of fate and destiny, of sorcery. It is a fantasy that brings us into a world we will never forget, and which will appeal to all ages and genders. It is 82,000 words.;https://images.gr-assets.com/books/1392626603l/16299991.jpg
13544074;9781465952776;A Rosary of Stones and Thorns;;4.37;52;;When the angel Asrial discovers that the halos of the Fallen have been kept in Heaven against their eventual return, she speaks out against Archangel Michael’s plan to make war on them on Earth. For her insolence, she is driven from grace and ends up in the parking lot of a Jesuit high school. But can she, a priest, a demon and two high school kids stop the Apocalypse... and redeem the Fallen?;https://images.gr-assets.com/books/1395533887l/13544074.jpg
798518;9780765342195;A School for Sorcery;320;3.64;744;2002;Winner of the Andre Norton Gryphon Award Welcome to the Leslie Simonton School for the Magically Gifted. A school where students can expect the unexpected. But be careful. At this school the final exam could be a real...killer.;https://images.gr-assets.com/books/1330953388l/798518.jpg
28944222;9780993555800;A Shadow Named Envy: Guardians;306;4.67;3;;"A Shadow Named Envy will lead you in to a dark fantasy world, filled with the 'monsters' that go bump in the night. It teaches you, through an exciting adventure, that not all things that hide in the dark are evil and sometimes it could even merely be your own shadow checking up on you; making sure no harm comes to you while you sleep. It is a tale that people of *all ages will enjoy, with lovable characters and dangerous escapades page after page. Recommended readers age: 12+, there is mild language and extremely subtle adult themes. Younger audiences may find it difficult to read due to the use of language. Always read the book first if you're unsure if you want your child read it. Genre: Action/Adventure/Fantasy. This book has a dark and unusual atmosphere to it. It touches upon a fantasy world that Shadow People live in, with similarities to our own. Synopsis: Beside our own world, hidden deep underground away from prying eyes and the sun's glare, there's another mysterious world: The City of Shade. When the notorious Shadow Council that rule the city with an iron fist, sentence a peculiar shadow child to death because of his unusually bright eyes and loud voice, only the intervention of two unlikely heroes, Hubert and Dot, will change the situation for better or worse. Could it be that the human world, rampant with light and danger around every corner, is, in fact, the only safe place to hide the 'cursed child' from the Council's reach? This book is PART 1 of a series to come following the exciting world of Shadows.";https://images.gr-assets.com/books/1461878557l/30010662.jpg
39027213;9781909236134;A Simpler Guide to Gmail: An unofficial user guide to setting up and using Gmail, Inbox and Google Calendar (Simpler Guides);270;;0;;;https://images.gr-assets.com/books/1520357387l/39027213.jpg
22608054;;A Tale Of Manhattan: Return Of The Sacred Scroll;171;4.07;15;;A Young Indiana Jones with a splash of Percy Jackson. Twelve-year-old Devin Reed is your average kid from Manhattan. That is until he inherits a 400 year old book and amulet necklace from his recently deceased grandfather. With book and amulet now in his possession, Devin discovers that he is the protector of a centuries old secret hidden in a cave deep beneath Central Park. It's there that he awakes a world he never knew existed. And it's there that he learns of his quest to save a sacred scroll from destruction. In the end, Devin becomes an unlikely hero as he battles evil spirits and a ruthless bloodline destined to destroy the scroll. Basically, forget everything you learned in school about the purchase of Manhattan. Because Devin’s adventurous and magical quest will change the history of the Island forever, and along the way reacquaint you with some of this country’s most famous historical figures. 'BOOK ONE' of the Devin Reed fantasy/adventure series.;https://images.gr-assets.com/books/1386536423l/19296642.jpg
1953;9780141439600;A Tale of Two Cities;489;3.82;708240;;"'Liberty, equality, fraternity, or death; -- the last, much the easiest to bestow, O Guillotine!' 
 After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette. From the tranquil roads of London, they are drawn against their will to the vengeful, bloodstained streets of Paris at the height of the Reign of Terror, and they soon fall under the lethal shadow of La Guillotine. This edition uses the text as it appeared in its serial publication in 1859 to convey the full scope of Dickens's vision, and includes the original illustrations by H. K. Browne ('Phiz'). Richard Maxwell's introduction discusses the intricate interweaving of epic drama with personal tragedy. --back cover";https://images.gr-assets.com/books/1344922523l/1953.jpg
38884016;9781985664678;A Very Bumpy Love;118;;1;;Melinda is a hopeless romantic. She dreams of finding true love, though she hasn’t had much luck in her life. When she finds a manuscript in a hidden compartment of her new home, she becomes inspired by the author named Joy. When Joy is diagnosed with cancer, she decides to have a baby. She writes her story, and dedicates it to the son she hopes to meet. Unsure whether Joy is alive, Melinda begins a quest to find Joy’s son, and through her journey, she finds hope, and what seems to be the perfect love story.;https://images.gr-assets.com/books/1519883954l/38884016.jpg
6676264;9781599904351;A Whole Nother Story;272;3.98;3600;;The three Cheeseman children, their father, and their psychic dog are all on the run. From whom? Well the CIA, naturally. But also corporate agents #5, #29, and # 207, plus two international superspies -- one of whom happens to be a chimpanzee. They all want Dr. Cheeseman and his late wife's greatest invention-a machine with unspeakable powers-OK, I'll say it. It's a time machine. But it's not working right yet, so put all ideas of time travel out of your head. Instead, please enjoy this high stakes, high action, hijinx-filled chase. And the bizarre characters our Cheeseman friends will meet as they protect not just their parents' invention, but their mother's sacred memory. It's an adventure novel like no other. Oh yeah, and did we mention the entertaining, plot-exposition filled, unsolicited advice you'll receive along the way? So you didn't ask for it? Yeah, that's why it's unsolicited. Unsolicited Advice #1: Read this book.;https://images.gr-assets.com/books/1439690611l/6676264.jpg
13642;9780553383041;A Wizard of Earthsea;183;3.99;179608;;Ged, the greatest sorcerer in all Earthsea, was called Sparrowhawk in his reckless youth. Hungry for power and knowledge, Sparrowhawk tampered with long-held secrets and loosed a terrible shadow upon the world. This is the tale of his testing, how he mastered the mighty words of power, tamed an ancient dragon, and crossed death's threshold to restore the balance.;https://images.gr-assets.com/books/1353424536l/13642.jpg
8306745;9781416997924;A World Without Heroes;457;4.08;30768;;Jason Walker has often wished his life could be a bit less predictable--until a routine day at the zoo ends with Jason suddenly transporting from the hippo tank to a place unlike anything he's ever seen. In the past, the people of Lyrian welcomed visitors from the Beyond, but attitudes have changed since the wizard emperor Maldor rose to power. The brave resistors who opposed the emperor have been bought off or broken, leaving a realm where fear and suspicion prevail. In his search for a way home, Jason meets Rachel, who was also mysteriously drawn to Lyrian from our world. With the help of a few scattered rebels, Jason and Rachel become entangled in a quest to piece together the word of power that can destroy the emperor, and learn that their best hope to find a way home will be to save this world without heroes.;https://images.gr-assets.com/books/1388338606l/8306745.jpg
33574273;9780440498056;A Wrinkle in Time;211;4.03;758943;1962;"It was a dark and stormy night; Meg Murry, her small brother Charles Wallace, and her mother had come down to the kitchen for a midnight snack when they were upset by the arrival of a most disturbing stranger. ""Wild nights are my glory,"" the unearthly stranger told them. ""I just got caught in a downdraft and blown off course. Let me be on my way. Speaking of way, by the way, there is such a thing as a tesseract"". Meg's father had been experimenting with this fifth dimension of time travel when he mysteriously disappeared. Now the time has come for Meg, her friend Calvin, and Charles Wallace to rescue him. But can they outwit the forces of evil they will encounter on their heart-stopping journey through space?";https://images.gr-assets.com/books/1329061522l/18131.jpg
